customer_name,company,phone_number,email_address,ship_address
UNIVERSITY OF STELLENBOSCH,UNIVERSITY OF STELLENBOSCH,+27 21938 5309,msanders@sun.ac.za,"UNIVERSITY OF STELLENBOSCH
MATIELAND 7602, South Africa
Matieland  
South Africa"
UPR-Medical Sciences Campus,UPR-Medical Sciences Campus,"(787) 772-8300 EX 5149, 5271",frances.vazquez5@upr.edu,"UPR-Medical Sciences Campus
Accounts Payable Department
PO Box 365067
San Juan  00936-5067
Puerto Rico"
US Medical Labs,US Medical Labs,nan,umair@usmedlab.org,"US Medical Labs
450 E 22nd Street Ste. 173
Lombard IL 60148
United States"
UZ-CTRC,UZ-CTRC,+263 24 791631 Extension 142,tzengeya@uz-ctrc.org ,"Ministry of Health and Child Care C/O 
UZ-CTRC 
15 Phillips Belgravia Avenue 
Harare 
tzengeya@uz-ctrc.org 
+263 24 704920"
V-Labs,V-Labs,nan,siva@vlabsamerica.com,"V-Labs
1404 W Walnut Hill Ln., Suite 100
Irving TX 75038
United States"
Valley Diagnostics Laboratory,Valley Diagnostics Laboratory,(559) 392-9859,naeem.qarni@gmail.com,"Valley Diagnostics Laboratory 
7275 N First Street 
Fresno CA 93720 
naeemqarni@gmail.com 
United States"
VIDHATA GENOMICS LLC DBA LABRITE,VIDHATA GENOMICS LLC DBA LABRITE,nan,SDESAI@LABRITE.COM,"VIDHATA GENOMICS LLC DBA LABRITE
4270 State Highway Route 1 North
Monmouth Junction NJ 08852
United States"
West Coast Labs,West Coast Labs,(330) 546-4478,Matt@LaboratoryAM.com,"West Coast Labs
520 E. Center Street
Manteca CA 95336
United States"
"West Houston Internal Medicine, LLC","West Houston Internal Medicine, LLC",nan,colleen@encompasslaboratory.com,"West Houston Internal Medicine, LLC
21238 Kingsland Blvd
Katy TX 77450
United States"
"Westat, Inc.","Westat, Inc.",(301) 251-1500,SaraGlashofer@westat.com,"Westat, Inc.
1600 Research Blvd.
Rockville MD 20850-3195
United States"
WILLET SCIENCE CENTER,WILLET SCIENCE CENTER,nan,vore_pa@mercer.edu,"WILLET SCIENCE CENTER
1501 MERCER UNIVERSITY DRIVE
Macon GA 31207
United States"
WITS Health Consortium (Pty) Ltd.,WITS Health Consortium (Pty) Ltd.,nan,lara.noble@wits.ac.za,"WITS Health Consortium (Pty) Ltd.
31 Princess of Wales Terrace
Parktown
Johannesburg  2193
South Africa"
"Worksite LABS, INC.","Worksite LABS, INC.",nan,eubiadas@worksitelabs.com,"Worksite LABS, INC.
1890 E. Miraloma Ave, Suite #D
Placentia CA 92870
United States"
Worldwide Healing Hands,Worldwide Healing Hands,(562) 519-5408,erin@worldwidehealinghands.org,"Worldwide Healing Hands
5685 Main Street
Kelseyville CA 95451
United States"
Yemaachi Biotech Ltd,Yemaachi Biotech Ltd,233 20 314 4744,yaw@yemaachi.com,"Yemaachi Biotech Ltd
222 Swaniker Street
Abelemkpe-Accra  
Ghana"
Mir Khan,YLAB180,(630) 440-1900,meditechinc@gmail.com,"YLAB180 
1405 BERNARD ST UNIT#B2 
ADDISON IL 60101 
Mir Khan "
Zam Labs,Zam Labs,nan,reporting@zamlaboratory.com,"Zam Labs
1645 S River Rd, Unit 10
Des Plaines IL 60018
United States"
Zenix Labs,Zenix Labs,nan,admin@zenixlaboratory.com,"Zenix Labs
2658 W Devon
Chicago IL 60659
United States"
